,id,name,MP,GA,GA90,SoTA,Saves%,CS%,Gls,Ast,PK,PKatt,CrdY,CrdR,Sh,SoT%,G/Sh
305,b318a643,Salomon Rondon,435,0,0.0,0.0,0.0,0.0,140,38,4,5,35,3,418,20.308823529411764,2.5799999999999996
306,2baec6ce,Axel Tuanzebe,105,0,0.0,0.0,0.0,0.0,1,1,0,0,11,0,17,3.417391304347826,0.0
307,e46012d4,Kevin De Bruyne,541,0,0.0,0.0,0.0,0.0,134,197,7,9,54,2,686,22.189795918367352,3.41
308,3515d404,James Ward Prowse,379,0,0.0,0.0,0.0,0.0,51,45,13,17,42,2,317,26.980645161290322,1.8299999999999998
309,c2731c10,Conor Gallagher,162,0,0.0,0.0,0.0,0.0,21,19,0,0,52,1,186,17.82,0.43
310,4596da74,Evan Ferguson,47,0,0.0,0.0,0.0,0.0,20,5,2,2,2,0,16,14.344444444444443,0.71
311,5a04fd92,Said Benrahma,278,0,0.0,0.0,0.0,0.0,66,48,8,8,11,2,492,19.941666666666666,1.8
312,8996350d,Mathias Normann,133,0,0.0,0.0,0.0,0.0,4,15,0,0,44,3,113,11.654545454545454,0.1
313,26f6dca8,Manuel Lanzini,217,0,0.0,0.0,0.0,0.0,30,22,7,8,28,0,219,20.128,1.5299999999999998
314,6e7f1353,Morgan Sanson,304,0,0.0,0.0,0.0,0.0,40,29,0,0,48,1,234,11.366666666666665,1.24
315,de5b5570,Marvelous Nakamba,197,0,0.0,0.0,0.0,0.0,2,4,0,0,37,2,11,7.14375,0.0
316,e814e1cf,Lewis Dobbin,59,0,0.0,0.0,0.0,0.0,8,7,0,1,3,0,51,14.6625,0.16
317,5cdddffa,Tanguy Ndombele,259,0,0.0,0.0,0.0,0.0,17,34,0,0,27,2,176,26.944444444444443,2.2199999999999998
318,e97fd090,Ruben Loftus Cheek,200,0,0.0,0.0,0.0,0.0,16,19,0,0,10,0,173,15.789285714285715,0.77
319,d0f72bf1,Max Kilman,109,0,0.0,0.0,0.0,0.0,3,2,0,0,15,0,37,17.293333333333333,0.08
320,939bc634,Jonas Lossl,369,496,31.439999999999998,1530.0,58.083999999999996,31.484000000000005,0,2,0,0,14,0,2,0.0,0.0
321,7b5ab7f2,Bryan,108,0,0.0,0.0,0.0,0.0,7,8,0,0,15,0,88,23.605263157894736,0.7500000000000001
322,4806ec67,Jordan Pickford,372,519,38.88,1605.0,57.537037037037045,17.622222222222224,0,1,0,0,19,3,1,0.0,0.0
323,18b896d6,Antonio Rudiger,396,0,0.0,0.0,0.0,0.0,21,7,0,0,63,7,199,8.061904761904762,1.42
324,3312f911,Jeffrey Schlupp,332,0,0.0,0.0,0.0,0.0,33,18,0,0,29,0,151,16.470967741935485,0.8
325,6a713852,Robert Sanchez,123,152,10.29,476.0,62.325,29.5625,0,1,0,0,10,1,0,0.0,0.0
326,4315f30d,Malang Sarr,161,0,0.0,0.0,0.0,0.0,3,3,0,0,16,0,36,11.123809523809523,0.56
327,3dcef539,Tariqe Fosu,226,0,0.0,0.0,0.0,0.0,37,25,1,1,21,1,162,27.86818181818182,0.5900000000000001
328,3faa1780,Lukas Rupp,255,0,0.0,0.0,0.0,0.0,22,15,0,0,20,0,98,18.092857142857145,1.82
329,d7553721,Giovani Lo Celso,256,0,0.0,0.0,0.0,0.0,33,27,2,4,49,3,295,28.40714285714285,1.7700000000000002
330,c3e39f12,Fraser Forster,411,378,33.59,1492.0,65.47096774193548,32.29354838709677,0,0,0,0,18,2,0,0.0,0.0
331,98ea5115,David Raya,266,298,24.020000000000003,1057.0,58.87368421052632,21.752631578947373,0,1,0,0,5,0,1,0.0,0.0
332,a2b105e0,Sean Longstaff,193,0,0.0,0.0,0.0,0.0,20,18,0,0,14,1,123,13.889473684210529,1.07
333,c5b7c315,Michael Keane,337,0,0.0,0.0,0.0,0.0,22,10,0,0,28,1,136,12.425925925925926,1.0999999999999999
334,5c74c0f5,Kiernan Dewsbury Hall,176,0,0.0,0.0,0.0,0.0,13,18,0,0,22,0,126,20.78333333333333,0.7100000000000001
335,aa8e289e,Nikola Vlasic,264,0,0.0,0.0,0.0,0.0,50,41,9,14,17,1,354,24.16190476190476,0.7200000000000001
336,30db8574,Mads Bech Sorensen,94,0,0.0,0.0,0.0,0.0,5,0,0,0,10,0,16,15.738888888888889,2.0
337,76eca7e2,Wayne Hennessey,323,449,41.339999999999996,1482.0,56.371875,31.03125,0,1,0,0,6,1,0,0.0,0.0
338,839c14e1,Cedric Soares,311,0,0.0,0.0,0.0,0.0,7,23,0,0,64,1,101,12.247368421052633,2.5100000000000002
339,74e12f1e,Jack Cork,540,0,0.0,0.0,0.0,0.0,16,18,0,0,71,1,88,9.714285714285715,0.83
340,1c0eea98,Daniel Bachmann,122,117,15.83,370.0,56.554545454545455,25.545454545454547,0,0,0,0,10,0,0,0.0,0.0
